brand,model,year,engine_size,fuel_type,transmission,mileage,doors,owner_count,price,car_age,price_per_km,price_category
kia,rio,2020,4.2,diesel,manual,289944,3,5,8501,6,0.02931935367052372,medio
chevrolet,malibu,2012,2.0,hybrid,automatic,5356,2,3,12092,14,2.257233526227366,luxo
mercedes,gla,2020,4.2,diesel,automatic,231440,4,2,11171,6,0.048267160961108876,luxo
audi,q5,2023,2.0,electric,manual,160971,2,1,11780,3,0.07318042889446612,luxo
volkswagen,golf,2003,2.6,hybrid,semi-automatic,286618,3,3,2867,23,0.010002826051308531,baixo
toyota,camry,2007,2.7,petrol,automatic,157889,4,4,7242,19,0.04586737602128064,medio
honda,civic,2010,3.4,electric,automatic,139584,3,1,11208,16,0.08029516065479815,luxo
kia,sportage,2001,4.7,electric,semi-automatic,157495,2,2,7950,25,0.050477472443744606,medio
kia,sportage,2014,2.6,hybrid,manual,98700,3,4,9926,12,0.10056635697713295,alto
toyota,rav4,2005,3.1,petrol,manual,107724,2,5,6545,21,0.060756556045486194,baixo
bmw,5 series,2013,1.3,hybrid,automatic,296824,2,3,5863,13,0.019752379348100733,baixo
volkswagen,golf,2009,4.5,hybrid,manual,42795,4,3,11444,17,0.2674081689877559,luxo
honda,cr-v,2007,4.8,hybrid,automatic,132875,3,4,10842,19,0.08159487040549084,alto
hyundai,elantra,2004,2.3,hybrid,semi-automatic,188996,2,1,4820,22,0.025503050312967932,baixo
volkswagen,golf,2003,2.4,petrol,automatic,145921,5,2,5981,23,0.04098765093680185,baixo
volkswagen,golf,2007,3.2,diesel,automatic,60103,2,1,9697,19,0.16133701583921203,alto
hyundai,elantra,2017,2.9,electric,automatic,38133,5,2,14837,9,0.38907536581528296,luxo
volkswagen,tiguan,2006,4.5,electric,manual,41161,2,2,11576,20,0.28123026092026626,luxo
kia,rio,2000,3.4,diesel,semi-automatic,257427,3,3,2351,26,0.009132650682909397,baixo
mercedes,gla,2021,1.5,petrol,manual,34640,2,1,11207,5,0.3235183741808839,luxo
chevrolet,equinox,2018,1.8,hybrid,automatic,21261,2,1,13374,8,0.6290095005173549,luxo
toyota,rav4,2000,4.6,hybrid,semi-automatic,41814,2,2,8863,26,0.21195743154370442,alto
toyota,rav4,2003,2.0,electric,manual,136662,5,4,6266,23,0.04585001061004076,baixo
ford,explorer,2006,2.8,hybrid,manual,99921,4,2,7701,20,0.07707011468945778,medio
mercedes,gla,2016,3.9,petrol,semi-automatic,19868,3,4,12402,10,0.6241884342443001,luxo
kia,sportage,2011,1.8,diesel,automatic,92188,2,4,8856,15,0.09606352167829134,medio
audi,a3,2022,3.3,electric,manual,79350,5,3,14413,4,0.18163602223034367,luxo
bmw,3 series,2017,2.3,electric,semi-automatic,142701,5,3,10645,9,0.07459601126823731,alto
bmw,3 series,2020,4.7,electric,semi-automatic,210767,3,3,12584,6,0.0597054581340621,luxo
chevrolet,equinox,2013,1.9,hybrid,automatic,121816,4,4,9963,13,0.08178661434775114,alto
hyundai,tucson,2007,3.9,electric,automatic,213643,4,5,9327,19,0.043656737376195916,alto
volkswagen,passat,2008,3.5,electric,manual,88381,3,1,10232,18,0.11577017944830395,alto
chevrolet,impala,2017,2.3,petrol,automatic,183619,5,1,9327,9,0.050795120357259554,alto
mercedes,gla,2013,3.3,electric,semi-automatic,80184,3,5,11696,13,0.1458626925235393,luxo
toyota,corolla,2010,3.2,diesel,automatic,132454,4,4,9150,16,0.0690800649277113,alto
kia,optima,2005,4.5,petrol,manual,18590,2,5,9728,21,0.5232639449195847,alto
audi,q5,2013,3.5,hybrid,semi-automatic,263411,4,1,7231,13,0.027451293031448835,medio
kia,sportage,2000,1.4,electric,manual,167050,5,4,4159,26,0.02489658846699511,baixo
ford,fiesta,2017,2.2,hybrid,manual,277363,2,4,6852,9,0.024703999077025137,medio
audi,a4,2004,1.0,petrol,manual,94415,2,1,4411,22,0.04671877647856296,baixo
ford,focus,2004,1.2,electric,manual,93645,3,3,6627,22,0.07076650364137282,baixo
bmw,5 series,2007,4.9,petrol,manual,120491,2,1,8690,19,0.07212097068685058,medio
honda,civic,2000,3.9,hybrid,manual,56020,2,4,7879,26,0.1406436871887328,medio
toyota,rav4,2003,3.9,electric,automatic,131868,5,3,9762,23,0.07402801264891673,alto
audi,q5,2023,3.6,electric,manual,238306,5,2,11833,3,0.049654437343426755,luxo
ford,focus,2011,2.3,diesel,automatic,255372,5,5,6092,15,0.02385530185258426,baixo
audi,a4,2009,2.4,diesel,manual,263797,2,5,3924,17,0.014875018006201715,baixo
